Samsung Electronics | South Korea | High (US/EU/Japan controls on advanced AI chips, memory, and equipment; FDPR applies) | Medium (industrial price ~$0.11/kWh, grid: 60% coal/gas, 30% nuclear, 10% renewables; price volatility risk) | US/EU/Japan export controls restrict advanced chip and memory exports to China and other embargoed countries; energy cost moderately sensitive due to high grid fossil share and price volatility | https://www.csis.org/analysis/understanding-us-allies-current-legal-authority-implement-ai-and-semiconductor-export, https://www.statista.com/statistics/263492/electricity-prices-in-selected-countries/
SK Hynix | South Korea | High (same as Samsung; HBM and DRAM under US/EU/Japan controls) | Medium (same as Samsung) | HBM/DRAM exports to China and other embargoed countries restricted; energy cost moderately sensitive | https://www.csis.org/analysis/understanding-us-allies-current-legal-authority-implement-ai-and-semiconductor-export, https://www.statista.com/statistics/263492/electricity-prices-in-selected-countries/
TSMC | Taiwan | High (US/EU/Japan controls on advanced foundry, FDPR applies, China risk) | Medium (industrial price ~$0.10/kWh, grid: 80% fossil, 15% nuclear, 5% renewables) | Advanced foundry exports to China restricted; energy cost moderately sensitive, grid fossil-heavy | https://www.csis.org/analysis/understanding-us-allies-current-legal-authority-implement-ai-and-semiconductor-export, https://www.statista.com/statistics/263492/electricity-prices-in-selected-countries/
Nanya Technology | Taiwan | High (same as TSMC; DRAM under US/EU/Japan controls) | Medium (same as TSMC) | DRAM exports to China restricted; energy cost moderately sensitive | https://www.csis.org/analysis/understanding-us-allies-current-legal-authority-implement-ai-and-semiconductor-export, https://www.statista.com/statistics/263492/electricity-prices-in-selected-countries/
Winbond Electronics | Taiwan | High (same as TSMC; specialty DRAM under US/EU/Japan controls) | Medium (same as TSMC) | Specialty DRAM exports to China restricted; energy cost moderately sensitive | https://www.csis.org/analysis/understanding-us-allies-current-legal-authority-implement-ai-and-semiconductor-export, https://www.statista.com/statistics/263492/electricity-prices-in-selected-countries/
Powerchip Technology | Taiwan | High (same as TSMC; DRAM/foundry under US/EU/Japan controls) | Medium (same as TSMC) | DRAM/foundry exports to China restricted; energy cost moderately sensitive | https://www.csis.org/analysis/understanding-us-allies/current-legal-authority-implement-ai-and-semiconductor-export, https://www.statista.com/statistics/263492/electricity-prices-in-selected-countries/
Lenovo Group | Hong Kong/China | Very High (US/EU/Japan controls, Entity List risk, China-specific bans) | Medium (industrial price ~$0.09/kWh, grid: 70% coal, 25% hydro/nuclear, 5% renewables) | Entity List risk, US/EU/Japan controls on advanced servers/networking; energy cost moderately sensitive, grid fossil-heavy | https://www.csis.org/analysis/limits-chip-export-controls-meeting-china-challenge, https://www.china-briefing.com/news/chinas-industrial-power-rates-category-electricity-usage-region-classification/
Huawei Technologies | China | Very High (Entity List, US/EU/Japan controls, broad bans; supply chain includes SMIC, BOE, Pengxinwei, Jinhua, HiSilicon, Applied Materials, Lam Research, all under US/EU/Japan restrictions) | Medium (same as Lenovo) | Entity List, broad US/EU/Japan bans on advanced AI/networking; supply chain highly exposed to US/EU/Japan controls on both upstream (equipment, foundry, memory) and downstream (customers); US suppliers shifting away from China, raising costs and risk; Taiwan and US controls on SMIC, BOE, Pengxinwei, Jinhua further restrict access to advanced nodes and equipment | https://www.csis.org/analysis/limits-chip-export-controls-meeting-china-challenge, https://www.china-briefing.com/news/chinas-industrial-power-rates-category-electricity-usage-region-classification/, https://supplychainreport.org/us-implements-new-export/, https://www.benzinga.com/government/24/11/41726213/applied-materials-and-lam-research-shift-supply-chains-away-from-china-to-meet-new-us-guidelines, https://www.cnn.com/2025/06/16/tech/taiwan-china-huawei-smic-export-control-intl-hnk
Inspur Group | China | Very High (Entity List, US/EU/Japan controls, broad bans) | Medium (same as Lenovo) | Entity List, broad US/EU/Japan bans on advanced AI/networking; energy cost moderately sensitive | https://www.csis.org/analysis/limits-chip-export-controls-meeting-china-challenge, https://www.china-briefing.com/news/chinas-industrial-power-rates-category-electricity-usage-region-classification/
Quanta Computer | Taiwan | High (same as TSMC; server exports under US/EU/Japan controls) | Medium (same as TSMC) | Server exports to China restricted; energy cost moderately sensitive | https://www.csis.org/analysis/understanding-us-allies/current-legal-authority-implement-ai-and-semiconductor-export, https://www.statista.com/statistics/263492/electricity-prices-in-selected-countries/
Foxconn (Hon Hai Precision) | Taiwan | High (same as TSMC; server/hardware exports under US/EU/Japan controls) | Medium (same as TSMC) | Server/hardware exports to China restricted; energy cost moderately sensitive | https://www.csis.org/analysis/understanding-us-allies/current-legal-authority-implement-ai-and-semiconductor-export, https://www.statista.com/statistics/263492/electricity-prices-in-selected-countries/
