Lenovo Group | Baseline | 2024 | 56864000000 | 3.8 | Baseline: 2024 revenue USD $56.86B, operating margin 3.8% (2024), strong AI server and PC demand, margin recovery in H2. | https://doc.irasia.com/listco/hk/lenovo/annual/2024/res.pdf, https://www.statista.com/statistics/233035/revenue-of-lenovo/
Lenovo Group | Export Ban | 2024 | 51177600000 | 2.0 | Assumes 10% revenue loss from US/EU/Japan export controls on AI/server components, margin compression due to supply chain disruption. | https://www.csis.org/analysis/limits-chip-export-controls-meeting-china-challenge
Lenovo Group | +20% Energy Price | 2024 | 55726720000 | 2.3 | Assumes 2% revenue impact from cost pass-through, 1.5pp margin hit from higher energy costs. | https://investor.lenovo.com/en/sustainability/reports/FY2024-lenovo-sustainability-report.pdf
Lenovo Group | Baseline | 2025 | 69077000000 | 4.0 | Baseline: 2025 revenue USD $69.08B, operating margin 4.0% (2025), continued AI/server growth, margin expansion. | https://doc.irasia.com/listco/hk/lenovo/annual/2025/res.pdf
Lenovo Group | Export Ban | 2025 | 62169300000 | 2.2 | Export restrictions persist, partial offset by Asia demand, margin still below baseline. | https://www.csis.org/analysis/limits-chip-export-controls-meeting-china-challenge
Lenovo Group | +20% Energy Price | 2025 | 67795460000 | 2.5 | 2% revenue impact, 1.5pp margin hit from sustained higher energy costs. | https://investor.lenovo.com/en/sustainability/reports/FY2024-lenovo-sustainability-report.pdf
Lenovo Group | Baseline | 2026 | 75984700000 | 4.2 | Assumes 10% YoY growth, margin normalization as market recovers. | https://doc.irasia.com/listco/hk/lenovo/annual/2025/res.pdf
Lenovo Group | Export Ban | 2026 | 68386230000 | 2.5 | Export ban persists, but company adapts supply chain, margin recovers partially. | https://www.csis.org/analysis/limits-chip-export-controls-meeting-china-challenge
Lenovo Group | +20% Energy Price | 2026 | 74465006000 | 2.7 | Energy cost impact persists, but margin recovers with scale and efficiency. | https://investor.lenovo.com/en/sustainability/reports/FY2024-lenovo-sustainability-report.pdf
Huawei Technologies | Baseline | 2024 | 118162000000 | 9.2 | Baseline: 2024 revenue USD $118.16B, operating margin 9.2% (2024), strong AI/ICT and consumer rebound, margin pressured by R&D. | https://www.huawei.com/en/annual-report/2024, https://www.digitimes.com/news/a20250401VL202/huawei-profit-revenue-2024.html
Huawei Technologies | Export Ban | 2024 | 106345800000 | 6.0 | Assumes 10% revenue loss from US/EU/Japan export controls on AI/server/networking, margin compression due to supply chain disruption and localization costs. | https://www.csis.org/analysis/deepseek-huawei-export-controls-and-future-us-china-ai-race, https://www.business-standard.com/companies/news/us-declares-global-use-of-huawei-ai-chips-a-violation-of-its-export-laws-125051401298_1.html
Huawei Technologies | +20% Energy Price | 2024 | 115798760000 | 7.2 | Assumes 2% revenue impact from cost pass-through, 2pp margin hit from higher energy costs. | https://www-file.huawei.com/-/media/corp2020/pdf/sustainability/huawei_sustainability_addendum_en_2024.pdf
Huawei Technologies | Baseline | 2025 | 129978200000 | 9.5 | Assumes 10% YoY growth, margin improves as AI/ICT demand grows. | https://www.huawei.com/en/annual-report/2024
Huawei Technologies | Export Ban | 2025 | 116980380000 | 6.3 | Export restrictions persist, partial offset by China/Asia demand, margin still below baseline. | https://www.csis.org/analysis/deepseek-huawei-export-controls-and-future-us-china-ai-race
Huawei Technologies | +20% Energy Price | 2025 | 127378636000 | 7.5 | 2% revenue impact, 2pp margin hit from sustained higher energy costs. | https://www-file.huawei.com/-/media/corp2020/pdf/sustainability/huawei_sustainability_addendum_en_2024.pdf
Huawei Technologies | Baseline | 2026 | 142976020000 | 9.7 | Assumes 10% YoY growth, margin normalization as market recovers. | https://www.huawei.com/en/annual-report/2024
Huawei Technologies | Export Ban | 2026 | 128678418000 | 6.5 | Export ban persists, but company adapts supply chain, margin recovers partially. | https://www.csis.org/analysis/deepseek-huawei-export-controls-and-future-us-china-ai-race
Huawei Technologies | +20% Energy Price | 2026 | 140829499600 | 7.7 | Energy cost impact persists, but margin recovers with scale and efficiency. | https://www-file.huawei.com/-/media/corp2020/pdf/sustainability/huawei_sustainability_addendum_en_2024.pdf
