ASML Holding | ASML | Netherlands | AI chip equipment supplier | https://www.statista.com/statistics/1375401/leading-europe-semiconductor-companies-by-market-cap/, https://www.asml.com
Arm Holdings | ARM | United Kingdom | AI chip IP designer | https://www.statista.com/statistics/1375401/leading-europe-semiconductor-companies-by-market-cap/
NXP Semiconductors | NXPI | Netherlands | AI chip supplier | https://www.statista.com/statistics/1375401/leading-europe-semiconductor-companies-by-market-cap/
Infineon Technologies | IFX | Germany | AI chip & memory supplier | https://www.statista.com/statistics/1375401/leading-europe-semiconductor-companies-by-market-cap/, https://www.mordorintelligence.com/industry-reports/europe-dynamic-random-access-memory-market/companies
STMicroelectronics | STM | Switzerland/Italy | AI chip supplier | https://www.statista.com/statistics/1375401/leading-europe-semiconductor-companies-by-market-cap/
ams OSRAM | AMS | Austria | AI sensor & chip supplier | https://www.mordorintelligence.com/industry-reports/europe-semiconductor-device-market/companies
Melexis | MELE | Belgium | AI sensor & chip supplier | https://www.mordorintelligence.com/industry-reports/europe-semiconductor-device-market/companies
X-FAB Silicon Foundries | XFAB | Germany | AI chip foundry | https://www.mordorintelligence.com/industry-reports/europe-semiconductor-device-market/companies
Ericsson | ERIC | Sweden | Networking equipment | https://www.revenue.land/invest-artificial-intelligence-europe
Nokia | NOKIA | Finland | Networking equipment | https://www.revenue.land/invest-artificial-intelligence-europe
OVH Groupe | OVH | France | AI server & cloud integrator | https://cryptorank.io/news/feed/b17a2-europe-data-center-infrastructure-ai-stocks
Legrand | LR | France | Data center infrastructure | https://cryptorank.io/news/feed/b17a2-europe-data-center-infrastructure-ai-stocks
Schneider Electric | SU | France | Data center infrastructure | https://cryptorank.io/news/feed/b17a2-europe-data-center-infrastructure-ai-stocks
Siemens AG | SIE | Germany | Data center & server integrator | https://www.revenue.land/invest-artificial-intelligence-europe
ABB Ltd | ABBN | Switzerland | Data center & server integrator | https://www.revenue.land/invest-artificial-intelligence-europe
Prysmian Group | PRY | Italy | Data center cabling & infrastructure | https://cryptorank.io/news/feed/b17a2-europe-data-center-infrastructure-ai-stocks
Orange S.A. | ORA | France | Data center & networking integrator | https://cryptorank.io/news/feed/b17a2-europe-data-center-infrastructure-ai-stocks
Soitec | SOI | France | Semiconductor materials | https://www.statista.com/statistics/1375401/leading-europe-semiconductor-companies-by-market-cap/, https://www.soitec.com/en/investors
BE Semiconductor Industries | BESI | Netherlands | Semiconductor assembly equipment | https://www.statista.com/statistics/1375401/leading-europe-semiconductor-companies-by-market-cap/, https://www.besi.com/investor-relations
Elmos Semiconductor | ELG | Germany | Automotive/AI chips | https://www.mordorintelligence.com/industry-reports/europe-semiconductor-device-market/companies, https://www.elmos.com/english/investor-relations/
Sequans Communications | SQNS | France | IoT/AI connectivity chips | https://www.sequans.com/investors/, https://www.mordorintelligence.com/industry-reports/europe-semiconductor-device-market/companies
Atos SE | ATO | France | HPC integrator/supercomputing vendor | https://atos.net/en/2024/press-release_2024_11_25/atos-receives-non-binding-offer-from-the-french-state-to-acquire-its-advanced-computing-activities-for-an-enterprise-value-of-e500-million-and-up-to-e625-million-including-earn-outs, https://blogs.nvidia.com/blog/atos-ai-hpc-xh3000/, https://thequantuminsider.com/2024/11/26/france-bids-e625-million-for-atoss-computing-unit-including-quantum-tech/
Samsung Electronics | 005930.KS | South Korea | AI chips, memory | https://aimagazine.com/top10/top-10-ai-companies-in-apac; https://www.mordorintelligence.com/industry-reports/asia-pacific-dynamic-random-access-memory-market/companies
SK Hynix | 000660.KS | South Korea | AI memory (DRAM, HBM) | https://www.mordorintelligence.com/industry-reports/asia-pacific-dynamic-random-access-memory-market/companies; https://en.wikipedia.org/wiki/SK_Hynix
TSMC (Taiwan Semiconductor Manufacturing Co.) | 2330.TW | Taiwan | AI chip foundry | https://research.aimultiple.com/ai-chip-makers/; https://goldenowl.asia/blog/ai-chip-companies
Nanya Technology | 2408.TW | Taiwan | AI memory (DRAM) | https://www.mordorintelligence.com/industry-reports/asia-pacific-dynamic-random-access-memory-market/companies
Winbond Electronics | 2344.TW | Taiwan | AI memory (DRAM, specialty) | https://www.mordorintelligence.com/industry-reports/asia-pacific-dynamic-random-access-memory-market/companies
Powerchip Technology | 5346.TWO | Taiwan | AI memory (DRAM, foundry) | https://www.mordorintelligence.com/industry-reports/asia-pacific-dynamic-random-access-memory-market/companies
Lenovo Group | 0992.HK | Hong Kong/China | AI servers, integrator | https://www.marketsandmarkets.com/ResearchInsight/ai-server-companies.asp
Huawei Technologies | 002502.SZ | China | AI servers, networking | https://www.marketsandmarkets.com/ResearchInsight/ai-server-companies.asp; https://en.wikipedia.org/wiki/List_of_Networking_hardware_vendors
Inspur Group | 000977.SZ | China | AI servers | https://www.marketsandmarkets.com/ResearchInsight/ai-server-companies.asp
Quanta Computer | 2382.TW | Taiwan | AI servers | https://www.marketsandmarkets.com/ResearchInsight/ai-server-companies.asp
Foxconn (Hon Hai Precision) | 2317.TW | Taiwan | AI servers, integrator | https://emergingtrajectories.com/a/pub/public_tech_companies_in_ai_you_havent_heard_of
