Samsung Electronics | 005930.KS | South Korea | AI chips, memory | https://aimagazine.com/top10/top-10-ai-companies-in-apac; https://www.mordorintelligence.com/industry-reports/asia-pacific-dynamic-random-access-memory-market/companies
SK Hynix | 000660.KS | South Korea | AI memory (DRAM, HBM) | https://www.mordorintelligence.com/industry-reports/asia-pacific-dynamic-random-access-memory-market/companies; https://en.wikipedia.org/wiki/SK_Hynix
TSMC (Taiwan Semiconductor Manufacturing Co.) | 2330.TW | Taiwan | AI chip foundry | https://research.aimultiple.com/ai-chip-makers/; https://goldenowl.asia/blog/ai-chip-companies
Nanya Technology | 2408.TW | Taiwan | AI memory (DRAM) | https://www.mordorintelligence.com/industry-reports/asia-pacific-dynamic-random-access-memory-market/companies
Winbond Electronics | 2344.TW | Taiwan | AI memory (DRAM, specialty) | https://www.mordorintelligence.com/industry-reports/asia-pacific-dynamic-random-access-memory-market/companies
Powerchip Technology | 5346.TWO | Taiwan | AI memory (DRAM, foundry) | https://www.mordorintelligence.com/industry-reports/asia-pacific-dynamic-random-access-memory-market/companies
Lenovo Group | 0992.HK | Hong Kong/China | AI servers, integrator | https://www.marketsandmarkets.com/ResearchInsight/ai-server-companies.asp
Huawei Technologies | 002502.SZ | China | AI servers, networking | https://www.marketsandmarkets.com/ResearchInsight/ai-server-companies.asp; https://en.wikipedia.org/wiki/List_of_Networking_hardware_vendors
Inspur Group | 000977.SZ | China | AI servers | https://www.marketsandmarkets.com/ResearchInsight/ai-server-companies.asp
Quanta Computer | 2382.TW | Taiwan | AI servers | https://www.marketsandmarkets.com/ResearchInsight/ai-server-companies.asp
Foxconn (Hon Hai Precision) | 2317.TW | Taiwan | AI servers, integrator | https://emergingtrajectories.com/a/pub/public_tech_companies_in_ai_you_havent_heard_of
Accton Technology | 2345.TW | Taiwan | AI networking (switches, interconnects) | https://en.wikipedia.org/wiki/Accton_Technology_Corporation
TP-Link Technologies | 002690.SZ | China | AI networking (routers, switches) | https://www.inven.ai/company-lists/top-24-networking-hardware-companies
GDS Holdings | GDS | China | AI data centers, integrator | https://datacentremagazine.com/articles/top-10-asia-pacific-data-centre-companies
Fujitsu Limited | 6702.T | Japan | AI servers, memory, networking | https://www.rankred.com/japanese-semiconductor-companies/; https://www.tradingview.com/markets/stocks-japan/sectorandindustry-sector/electronic-technology/
Kaga Electronics | 8154.T | Japan | AI hardware distribution, components | https://www.tradingview.com/markets/stocks-japan/sectorandindustry-sector/electronic-technology/
Toshiba Tec Corp | 6588.T | Japan | AI servers, storage, networking | https://www.tradingview.com/markets/stocks-japan/sectorandindustry-sector/electronic-technology/
Mitsui High-tec | 6966.T | Japan | AI chip packaging, components | https://www.tradingview.com/markets/stocks-japan/sectorandindustry-sector/electronic-technology/
Renesas Electronics | 6723.T | Japan | AI chips, microcontrollers | https://www.renesas.com/en/document/rep/financial-report-2024; https://www.datainsightsmarket.com/companies/6723.T
Kioxia Holdings | 6682.T | Japan | AI memory (NAND, HBM, SSD) | https://www.kioxia-holdings.com/en-jp/about/glance.html; https://www.ainvest.com/news/kioxia-dominant-position-ai-driven-data-infrastructure-buy-signal-2025-2505/
EdgeCortix | (private, IPO expected) | Japan | AI accelerators | https://www.edgecortix.com/en/; https://www.edgeir.com/edgecortix-introduces-sakura-ii-edge-ai-accelerator-for-genai-applications-20240528
Rapidus Corporation | (private, IPO expected) | Japan | Advanced foundry (2nm, AI) | https://www.rapidus.inc/en/; https://www.theregister.com/2024/04/24/rapidus_foundry_strategy/
NEC Corporation | 6701.T | Japan | AI servers, networking | https://www.nec.com/en/global/ir/pdf/annual/2024/ar2024-e.pdf; https://www.morningstar.com/stocks/xtks/6701/quote
Oki Electric Industry | 6703.T | Japan | Networking, servers | https://disfold.com/japan/industry/communication-equipment/companies/; https://www.tradingview.com/symbols/TSE-6703/
Allied Telesis Holdings | 6835.T | Japan | Networking (switches, routers) | https://disfold.com/japan/industry/communication-equipment/companies/; https://www.alliedtelesis.com/about-us/investor-relations
Anritsu Corporation | 6754.T | Japan | Networking test, communications | https://disfold.com/japan/industry/communication-equipment/companies/; https://www.anritsu.com/en/about-anritsu/investor-relations
SoftBank Group | 9984.T | Japan | AI infrastructure, networking, hyperscaler | https://itbusinesstoday.com/tech/ai/top-10-ai-companies-in-japan-revolutionizing-global-technology-in-2025/; https://www.softbank.jp/en/corp/ir/
E2E Networks | E2E | India | AI cloud servers, data center | https://rupeezy.in/blog/best-data-center-stocks-in-india
Tata Elxsi | 500408.BSE | India | AI hardware design, integration | https://groww.in/blog/best-artificial-intelligence-stocks-in-india
SPEL Semiconductor | 517166.BSE | India | Chip packaging, OSAT | https://www.tickertape.in/stocks/collections/semiconductor-stocks
MosChip Technologies | 532407.BSE | India | AI chips, SoC, design | https://www.tickertape.in/stocks/collections/semiconductor-stocks
HCL Technologies | HCLTECH.NSE | India | AI servers, integration, hyperscaler | https://groww.in/blog/best-artificial-intelligence-stocks-in-india
VITROX Corporation | 0097.KL | Malaysia | AI vision, test, hardware | https://www.isaham.my/sector/artificial-intelligence
INARI Amertron | 0166.KL | Malaysia | OSAT, AI chip packaging | https://www.kenanga.com.my/wp-content/uploads/2024/09/Technology-240919-SU-4QFY24-Strategy-Kenanga.pdf
PIE Industrial | 7095.KL | Malaysia | AI server, data center hardware | https://www.kenanga.com.my/wp-content/uploads/2024/09/Technology-240919-SU-4QFY24-Strategy-Kenanga.pdf
AEM Holdings | AWX.SI | Singapore | AI chip test, hardware | https://thesmartinvestor.com.sg/4-compelling-singapore-stocks-that-could-ride-the-ai-wave-to-greater-prosperity/
UMS Holdings | 558.SI | Singapore | AI chip equipment, hardware | https://www.moomoo.com/community/feed/singapore-tech-stock-market-dynamics-and-outlook-amid-global-semiconductor-113525767733254
