Melexis | baseline | 2024 | 1010000000 | 23.6 | Baseline scenario reflects reported 2024 revenue (EUR 932.8M, USD 1.01B at 1.08 EUR/USD) and margin. AI exposure high in automotive (ADAS, electrification, comfort/safety), moderate in non-auto. | https://media.melexis.com/-/media/files/documents/investor-relations/reports/annual-reports/en/2024-annual-report-melexis-en.pdf, https://stockanalysis.com/quote/ebr/MELE/revenue/
Melexis | export_ban | 2024 | 910000000 | 19.6 | Assumes 10% revenue impact from China/Asia export restrictions and margin compression due to lower utilization. | https://media.melexis.com/-/media/files/documents/investor-relations/reports/annual-reports/en/2024-annual-report-melexis-en.pdf
Melexis | energy+20pct | 2024 | 1010000000 | 22.1 | Assumes 20% increase in energy costs reduces margin by 1.5 percentage points. | https://media.melexis.com/-/media/files/documents/investor-relations/reports/annual-reports/en/2024-annual-report-melexis-en.pdf
Melexis | baseline | 2025 | 1140000000 | 24.0 | Baseline scenario assumes 13% revenue growth (analyst consensus), margin expansion as inventory correction ends and auto demand recovers. | https://simplywall.st/stocks/be/semiconductors/ebr-mele/melexis-shares/future, https://www.marketscreener.com/quote/stock/MELEXIS-N-V-5980/finances/
Melexis | export_ban | 2025 | 1026000000 | 20.0 | Assumes continued export restrictions, 10% revenue impact, margin pressure. | https://simplywall.st/stocks/be/semiconductors/ebr-mele/melexis-shares/future
Melexis | energy+20pct | 2025 | 1140000000 | 22.5 | 20% energy cost increase, margin -1.5pp. | https://simplywall.st/stocks/be/semiconductors/ebr-mele/melexis-shares/future
Melexis | baseline | 2026 | 1265000000 | 25.0 | Baseline scenario, 11% revenue growth (analyst consensus), margin expansion as auto/EV/ADAS content rises. | https://simplywall.st/stocks/be/semiconductors/ebr-mele/melexis-shares/future, https://www.marketscreener.com/quote/stock/MELEXIS-N-V-5980/finances/
Melexis | export_ban | 2026 | 1138500000 | 21.0 | Export ban, 10% revenue impact, margin pressure. | https://simplywall.st/stocks/be/semiconductors/ebr-mele/melexis-shares/future
Melexis | energy+20pct | 2026 | 1265000000 | 23.5 | 20% energy cost increase, margin -1.5pp. | https://simplywall.st/stocks/be/semiconductors/ebr-mele/melexis-shares/future
XFAB | baseline | 2024 | 822000000 | 22.5 | Baseline scenario reflects reported 2024 revenue (USD 822M, excluding IFRS 15 impact) and EBITDA margin midpoint (22-23%). AI exposure high in automotive foundry, moderate in industrial/medical. | https://www.businesswire.com/news/home/20250206433196/en/X-FAB-Fourth-Quarter-and-Full-Year-2024-Results, https://www.xfab.com/fileadmin/X-FAB/Investor_Relations/Press_Release_X-FAB_Q3_2024_Results_24Oct2024_ENG.pdf
XFAB | export_ban | 2024 | 740000000 | 18.5 | Assumes 10% revenue impact from China/Asia export restrictions and margin compression due to lower utilization and fixed cost absorption. | https://www.xfab.com/sustainability, https://www.bis.gov/press-release/commerce-strengthens-export-controls-restrict-chinas-capability-produce-advanced-semiconductors-military
XFAB | energy+20pct | 2024 | 822000000 | 20.5 | Assumes 20% increase in EU energy costs reduces margin by 2 percentage points (high energy intensity, partial mitigation via Malaysia fab). | https://www.xfab.com/sustainability, https://www.xfab.com/fileadmin/X-FAB/Investor_Relations/Press_Release_X-FAB_Q3_2024_Results_24Oct2024_ENG.pdf
XFAB | baseline | 2025 | 845000000 | 24.0 | Baseline scenario: analyst consensus and company guidance (USD 820-870M), margin expansion to 24% as demand recovers in automotive/industrial. | https://www.ainvest.com/news/fab-strategic-growth-key-segments-unlocking-sustainable-revenue-margin-expansion-analog-mixed-signal-ics-2509/, https://www.businesswire.com/news/home/20250423378830/en/X-FAB-First-Quarter-2025-Results
XFAB | export_ban | 2025 | 760500000 | 19.5 | Assumes continued export restrictions, 10% revenue impact, margin pressure. | https://www.xfab.com/sustainability, https://www.bis.gov/press-release/commerce-strengthens-export-controls-restrict-chinas-capability-produce-advanced-semiconductors-military
XFAB | energy+20pct | 2025 | 845000000 | 22.0 | 20% energy cost increase, margin -2pp. | https://www.xfab.com/sustainability, https://www.xfab.com/fileadmin/X-FAB/Investor_Relations/Press_Release_X-FAB_Q3_2024_Results_24Oct2024_ENG.pdf
XFAB | baseline | 2026 | 915000000 | 25.0 | Baseline scenario: 8.5% revenue growth (analyst consensus), margin expansion as utilization and product mix improve. | https://simplywall.st/stocks/fr/semiconductors/epa-xfab/x-fab-silicon-foundries-shares/future
XFAB | export_ban | 2026 | 823500000 | 20.0 | Export ban, 10% revenue impact, margin pressure. | https://simplywall.st/stocks/fr/semiconductors/epa-xfab/x-fab-silicon-foundries-shares/future
XFAB | energy+20pct | 2026 | 915000000 | 23.0 | 20% energy cost increase, margin -2pp. | https://simplywall.st/stocks/fr/semiconductors/epa-xfab/x-fab-silicon-foundries-shares/future
