ams OSRAM | supplier | Nichia | major | https://ams-osram.cn/documents/4390887/30856145/Investor%20presentation%20ams%20OSRAM%20Q3%202024.pdf
ams OSRAM | supplier | Seoul Semiconductor | major | https://ams-osram.cn/documents/4390887/30856145/Investor%20presentation%20ams%20OSRAM%20Q3%202024.pdf
ams OSRAM | supplier | Samsung LED | major | https://ams-osram.cn/documents/4390887/30856145/Investor%20presentation%20ams%20OSRAM%20Q3%202024.pdf
ams OSRAM | supplier | MLS | major | https://ams-osram.cn/documents/4390887/30856145/Investor%20presentation%20ams%20OSRAM%20Q3%202024.pdf
ams OSRAM | supplier | Tungsten wire/chemical suppliers (Schwabmünchen site) | major | https://www.industrie40award.com/the-winners/ams-osram-schwabmuenchen/
ams OSRAM | customer | Apple | major | https://www.microled-info.com/ams-osram
ams OSRAM | customer | NIO | major | https://www.shine.lighting/osram/updates
ams OSRAM | customer | Marelli | major | https://www.shine.lighting/osram/updates
ams OSRAM | customer | Automotive OEMs (general) | major | https://ams-osram.com/documents/4390887/30856145/Investor%20presentation%20ams%20OSRAM%20Q3%202024.pdf
ams OSRAM | customer | Industrial/Medical OEMs (general) | major | https://ams-osram.com/documents/4390887/30856145/Investor%20presentation%20ams%20OSRAM%20Q3%202024.pdf
ams OSRAM | customer | Consumer electronics OEMs (general) | major | https://ams-osram.com/documents/4390887/30856145/Investor%20presentation%20ams%20OSRAM%20Q3%202024.pdf
Melexis | supplier | Carsem (Malaysia) | major | https://www.volza.com/company-profile/melexis-france-sas-1071334/
Melexis | supplier | Unisem | major | https://www.volza.com/company-profile/melexis-technologies-nv-279826/
Melexis | supplier | Amkor Technology | major | https://www.volza.com/company-profile/melexis-france-sas-1071334/
Melexis | supplier | SE Melexis Ukraine | major | https://www.volza.com/company-profile/melexis-technologies-nv-279826/
Melexis | customer | NIO | major | https://prd10-melexis.blastic.be/nl/news/stories/2024/~/link.aspx?_id=A42AC4B4B39E47469F9283B2D0D7C6CD&_z=z
Melexis | customer | Samsung Electronics | major | https://prd10-melexis.blastic.be/nl/news/stories/2024/~/link.aspx?_id=A42AC4B4B39E47469F9283B2D0D7C6CD&_z=z
Melexis | customer | Hella India Automotive | major | https://www.volza.com/company-profile/melexis-technologies-nv-279826/
Melexis | customer | Avx Electronics Sensing And Control | major | https://www.volza.com/company-profile/melexis-technologies-nv-279826/
Melexis | customer | Mando Hella Electronics Automotive | major | https://www.volza.com/company-profile/melexis-technologies-nv-279826/
Melexis | customer | Automotive OEMs (general) | major | https://media.melexis.com/-/media/files/documents/investor-relations/reports/annual-reports/en/2024-annual-report-melexis-en.pdf?ts=20250410t1341344477
Prysmian Group | supplier | Copper mining & smelting companies (global) | critical | https://www.prysmian.com/sites/www.prysmian.com/files/2024-07/2024-PrysmianGroup-Purchasing-supplyChainStrategy-CLEAN.pdf
Prysmian Group | supplier | Aluminum mining & smelting companies (global) | critical | https://www.prysmian.com/sites/www.prysmian.com/files/2024-07/2024-PrysmianGroup-Purchasing-supplyChainStrategy-CLEAN.pdf
