Keysight Technologies | Baseline | 2025 | 5,200,000,000 | 17 | CSG (AI data center, hyperscaler, 6G/quantum R&D) rebound, EISG stable, margin recovery as tariff mitigation progresses, recurring revenue 32%. | https://investor.keysight.com/investor-news-and-events/financial-press-releases/press-release-details/2024/Keysight-Technologies-Reports-Fourth-Quarter-and-Fiscal-Year-2024-Results/default.aspx, https://www.ainvest.com/news/keysight-technologies-strategic-play-ai-driven-infrastructure-revolution-2508/, https://www.annualreports.com/HostedData/AnnualReports/PDF/NYSE_KEYS_2024.pdf
Keysight Technologies | Baseline | 2026 | 5,600,000,000 | 18 | AI/6G/quantum test demand, margin up as cost actions take hold, recurring revenue 34%. | https://investor.keysight.com/investor-news-and-events/financial-press-releases/press-release-details/2024/Keysight-Technologies-Reports-Fourth-Quarter-and-Fiscal-Year-2024-Results/default.aspx
Keysight Technologies | Baseline | 2027 | 6,100,000,000 | 19 | AI/6G/quantum, hyperscaler, and defense test growth, margin up as scale/automation increase. | https://www.ainvest.com/news/keysight-technologies-strategic-play-ai-driven-infrastructure-revolution-2508/
Keysight Technologies | Export Ban | 2025 | 4,900,000,000 | 13 | US/EU export controls on test equipment/software to China, $300M+ revenue loss, margin -4pts, partial offset via US/EU/defense. | https://diaztradelaw.com/keysight-technologies-pays-6-6m-to-state-department-for-export-violations/, https://www.ainvest.com/news/keysight-technologies-strategic-play-ai-driven-infrastructure-revolution-2508/
Keysight Technologies | Export Ban | 2026 | 5,200,000,000 | 14 | Ongoing export controls, China/defense sales capped, margin pressure persists. | https://diaztradelaw.com/keysight-technologies-pays-6-6m-to-state-department-for-export-violations/
Keysight Technologies | Export Ban | 2027 | 5,700,000,000 | 15 | Some adaptation, but export controls cap growth, margin recovers slightly as mix shifts to US/EU/defense. | https://diaztradelaw.com/keysight-technologies-pays-6-6m-to-state-department-for-export-violations/
Keysight Technologies | +20% Energy Price | 2025 | 5,150,000,000 | 16 | Energy cost exposure moderate (R&D, manufacturing, test labs), margin -1pt, mitigation via efficiency/renewables. | https://www.ainvest.com/news/keysight-technologies-strategic-play-ai-driven-infrastructure-revolution-2508/
Keysight Technologies | +20% Energy Price | 2026 | 5,550,000,000 | 17 | Energy cost pressure persists, but efficiency gains and pass-through to customers limit impact. | https://www.ainvest.com/news/keysight-technologies-strategic-play-ai-driven-infrastructure-revolution-2508/
Keysight Technologies | +20% Energy Price | 2027 | 6,050,000,000 | 18 | Ongoing high energy prices, but margin impact limited by efficiency and scale. | https://www.ainvest.com/news/keysight-technologies-strategic-play-ai-driven-infrastructure-revolution-2508/
Teradyne | Baseline | 2025 | 2,950,000,000 | 22 | Semiconductor Test (AI compute/HBM) >65% of segment, Robotics recovery, System/Wireless Test stable, margin up on mix/scale. | https://www.businesswire.com/news/home/20250128031178/en/Teradyne-Reports-Fourth-Quarter-2024-Results, https://www.monexa.ai/blog/teradyne-inc-q2-2025-analysis-ai-semiconductor-sur-TER-2025-08-01, https://dcfmodeling.com/blogs/health/ter-financial-health
Teradyne | Baseline | 2026 | 3,200,000,000 | 23 | AI test demand, Robotics up, System/Wireless Test steady, margin up on scale/automation. | https://www.ainvest.com/news/teradyne-ai-driven-growth-market-volatility-navigating-semiconductor-testing-sector-high-stakes-landscape-2507/
