Dell Technologies Inc. | Baseline | 2025 | 89,000,000,000 | 8 | Assumes moderate AI server/storage growth in ISG, PC recovery in CSG, AI server orders ~20% of ISG, margin stable. | https://www.statista.com/statistics/992556/dell-revenue-by-segment/, https://www.stockinsights.ai/us/DELL/earnings-transcript/fy25-q4-43fd
Dell Technologies Inc. | Baseline | 2026 | 92,000,000,000 | 8.5 | AI/edge and data center demand accelerates, CSG stable, margin improves with scale and mix. | https://www.statista.com/statistics/992556/dell-revenue-by-segment/
Dell Technologies Inc. | Baseline | 2027 | 95,000,000,000 | 9 | AI/edge and ISG growth, margin up as utilization and pricing improve. | https://www.statista.com/statistics/992556/dell-revenue-by-segment/
Dell Technologies Inc. | Export Ban | 2025 | 86,000,000,000 | 6.5 | Assumes further US/EU export bans to China/other regions, $3B+ revenue loss, margin hit from lost scale and inventory write-downs. | https://www.dell.com/en-us/dt/corporate/newsroom/announcements/detailpage.press-releases~usa~2024~02~dell-technologies-delivers-fourth-quarter-and-full-year-fiscal-2024-financial-results.htm
Dell Technologies Inc. | Export Ban | 2026 | 88,000,000,000 | 6.5 | Ongoing export controls, China/other APAC sales limited, margin pressure persists. | https://www.dell.com/en-us/dt/corporate/newsroom/announcements/detailpage.press-releases~usa~2024~02~dell-technologies-delivers-fourth-quarter-and-full-year-fiscal-2024-financial-results.htm
Dell Technologies Inc. | Export Ban | 2027 | 90,000,000,000 | 7 | Some adaptation, but export controls cap growth, margin recovers slightly as mix shifts to US/EU. | https://www.dell.com/en-us/dt/corporate/newsroom/announcements/detailpage.press-releases~usa~2024~02~dell-technologies-delivers-fourth-quarter-and-full-year-fiscal-2024-financial-results.htm
Dell Technologies Inc. | +20% Energy Price | 2025 | 88,000,000,000 | 7 | US/EU data center and fab energy costs rise, Dell's exposure moderate due to partial renewables, margin -1pt. | https://www.delltechnologies.com/asset/en-us/solutions/business-solutions/briefs-summaries/delltechnologies-fy24-esg-report.pdf
Dell Technologies Inc. | +20% Energy Price | 2026 | 91,000,000,000 | 7.5 | Energy cost pressure persists, but efficiency gains and pass-through to customers limit impact. | https://www.delltechnologies.com/asset/en-us/solutions/business-solutions/briefs-summaries/delltechnologies-fy24-esg-report.pdf
Dell Technologies Inc. | +20% Energy Price | 2027 | 94,000,000,000 | 8 | Ongoing high energy prices, but margin impact limited by efficiency and scale. | https://www.delltechnologies.com/asset/en-us/solutions/business-solutions/briefs-summaries/delltechnologies-fy24-esg-report.pdf
NXP Semiconductors | baseline | 2024 | 13300000000 | 26.5 | Baseline scenario assumes continued strong demand in automotive, edge AI, and IoT; AI exposure via automotive ADAS, edge processing, and IoT (estimated 15-20% of revenue). | https://stockanalysis.com/stocks/nxpi/metrics/revenue-by-segment/, https://www.printedelectronicsnow.com/contents/view_breaking-news/2024-02-06/nxp-semiconductors-reports-4q-full-year-2023-results/, https://www.ainvest.com/news/nxp-semiconductors-ai-collaboration-nvidia-drives-edge-processing-growth-2501/
NXP Semiconductors | export_ban | 2024 | 11970000000 | 22.5 | Assumes 10% revenue impact from potential export restrictions to China/Asia and margin compression due to lower utilization. | https://stockanalysis.com/stocks/nxpi/metrics/revenue-by-segment/
NXP Semiconductors | energy+20pct | 2024 | 13300000000 | 25.0 | Assumes 20% increase in energy costs reduces margin by 1.5 percentage points. | https://stockanalysis.com/stocks/nxpi/metrics/revenue-by-segment/
NXP Semiconductors | baseline | 2025 | 13965000000 | 27.0 | Baseline scenario assumes 5% revenue growth, continued AI/automotive/IoT demand. | https://stockanalysis.com/stocks/nxpi/metrics/revenue-by-segment/
