Balint, Becca | VT-At Large | Germany
Beyer, Don | VA-08 | Free Territory of Trieste
Carbajal, Salud | CA-24 | Mexico
Casten, Sean | IL-06 | Ireland
Ciscomani, Juan | AZ-06 | Mexico
Clyde, Andrew | GA-09 | Canada
Crenshaw, Dan | TX-02 | Scotland
Davids, Sharice | KS-03 | Germany
DeGette, Diana | CO-01 | Japan
Espaillat, Adriano | NY-13 | Dominican Republic
García, Jesús G. “Chuy” | IL-04 | Mexico
Garcia, Robert | CA-42 | Peru
Gimenez, Carlos | FL-28 | Cuba
Himes, James | CT-04 | Peru
Jayapal, Pramila | WA-07 | India
Kim, Andy | NJ-03 | Massachusetts
Kim, Young | CA-40 | South Korea
Krishnamoorthi, Raja | IL-08 | India
Meng, Grace | NY-06 | New York
Ocasio-Cortez, Alexandria | NY-14 | New York
Pallone, Frank | NJ-06 | New York
Sablan, Gregorio | MP-At Large | Saipan, Northern Mariana Islands
Salazar, Maria Elvira | FL-27 | Cuba
Schakowsky, Jan | IL-09 | Illinois
Schrier, Kim | WA-08 | California
Soto, Darren | FL-09 | New Jersey
Stefanik, Elise | NY-21 | New York
Thanedar, Shri | MI-13 | India
Tokuda, Jill | HI-02 | Hawaii
Torres, Norma | CA-35 | Guatemala
Vargas, Juan | CA-52 | Mexico
Vasquez, Gabe | NM-02 | Texas
Wasserman Schultz, Debbie | FL-25 | New York
Wild, Susan | PA-07 | Germany
Zinke, Ryan | MT-01 | North Dakota
Ilhan Omar | MN-5 | Mogadishu, Somalia
Darrell Issa | CA-48 | Ohio
Glenn Ivey | MD-4 | Connecticut
Jeff Jackson | NC-14 | Florida
Sheila Jackson Lee | TX-18 | New York
John James | MI-10 | Michigan
Tommy Tuberville | Alabama | Arkansas
Dan Sullivan | Alaska | Ohio
Mark Kelly | Arizona | New Jersey
Ruben Gallego | Arizona | Illinois
John Boozman | Arkansas | Louisiana
Adam Schiff | California | Massachusetts
Laphonza Butler | California | Mississippi
Michael Bennet | Colorado | India
John Hickenlooper | Colorado | Pennsylvania
Richard Blumenthal | Connecticut | New York
Chris Murphy | Connecticut | New York
Chris Coons | Delaware | Connecticut
Rick Scott | Florida | Illinois
McConnell, Mitch | KY-Senate | Alabama
Menendez, Robert | NJ-Senate | New York
Murphy, Christopher | CT-Senate | Massachusetts
Paul, Rand | KY-Senate | Pennsylvania
Risch, James E. | ID-Senate | Wisconsin
Romney, Mitt | UT-Senate | Michigan
Rosen, Jacky | NV-Senate | Illinois
Sanders, Bernie | VT-Senate | New York
Schatz, Brian | HI-Senate | Michigan
Scott, Rick | FL-Senate | Illinois
Shaheen, Jeanne | NH-Senate | Missouri
Smith, Tina | MN-Senate | New Mexico
Sullivan, Dan | AK-Senate | Ohio
Tillis, Thom | NC-Senate | Florida
Tuberville, Tommy | AL-Senate | Arkansas
Van Hollen, Chris | MD-Senate | Pakistan
Warner, Mark R. | VA-Senate | Indiana
Warren, Elizabeth | MA-Senate | Oklahoma
Welch, Peter | VT-Senate | Massachusetts
Whitehouse, Sheldon | RI-Senate | New York
Wyden, Ron | OR-Senate | Kansas
Young, Todd | IN-Senate | Pennsylvania
Grace Napolitano | CA-31 | Texas
Joe Neguse | CO-2 | California
Troy Nehls | TX-22 | Wisconsin
Wiley Nickel | NC-13 | California
Ilhan Omar | MN-5 | Somalia
Burgess Owens | UT-4 | Ohio
Nancy Pelosi | CA-11 | Maryland
Marie Gluesenkamp Perez | WA-3 | Texas
Scott Perry | PA-10 | California
Scott Peters | CA-50 | Ohio
Chellie Pingree | ME-1 | Minnesota
