Ilhan Omar | House | MN | 5
Greg Indian | House | OK | 2
Darrell Issa | House | CA | 48
Glenn Ivey | House | MD | 4
Jonathan Jackson | House | IL | 1
Jeff Jackson | House | NC | 14
Ronny Jackson | House | TX | 13
Sheila Jackson Lee | House | TX | 18
Sara Jacobs | House | CA | 51
John James | House | MI | 10
Pramila Jayapal | House | WA | 7
Hakeem Jeffries | House | NY | 8
Bill Johnson | House | OH | 6
Dusty Johnson | House | SD | AL
Hank Johnson | House | GA | 4
Mike Johnson | House | LA | 4
Wesley Johnson | House | MS | 2
Jim Jordan | House | OH | 4
David Joyce | House | OH | 14
John Joyce | House | PA | 13
Kaiali'i Kahele | House | HI | 2
Sydney Kamlager-Dove | House | CA | 37
Marcy Kaptur | House | OH | 9
Thomas Kean | House | NJ | 7
Bill Keating | House | MA | 9
Mike Kelly | House | PA | 16
Robin Kelly | House | IL | 2
Ro Khanna | House | CA | 17
Dan Kildee | House | MI | 8
Derek Kilmer | House | WA | 6
Andy Kim | House | NJ | 3
Young Kim | House | CA | 40
Ann McLane Kuster | House | NH | 2
David Kustoff | House | TN | 8
Darin LaHood | House | IL | 16
Doug LaMalfa | House | CA | 1
Doug Lamborn | House | CO | 5
Greg Landsman | House | OH | 1
Nick Langworthy | House | NY | 23
Rick Larsen | House | WA | 2
John Larson | House | CT | 1
Bob Latta | House | OH | 5
Jake LaTurner | House | KS | 2
Mike Lawler | House | NY | 17
Barbara Lee | House | CA | 12
Summer Lee | House | PA | 12
Susie Lee | House | NV | 3
Teresa Leger Fernandez | House | NM | 3
Debbie Lesko | House | AZ | 8
Julia Letlow | House | LA | 5
Mike Levin | House | CA | 49
Ted Lieu | House | CA | 36
Zoe Lofgren | House | CA | 18
Barry Loudermilk | House | GA | 11
Frank Lucas | House | OK | 3
Blaine Luetkemeyer | House | MO | 3
Anna Paulina Luna | House | FL | 13
Morgan Luttrell | House | TX | 8
Stephen Lynch | House | MA | 8
Nancy Mace | House | SC | 1
Seth Magaziner | House | RI | 2
Nicole Malliotakis | House | NY | 11
Celeste Maloy | House | UT | 2
Tracey Mann | House | KS | 1
Kathy Manning | House | NC | 6
Thomas Massie | House | KY | 4
Brian Mast | House | FL | 21
Doris Matsui | House | CA | 7
Lucy McBath | House | GA | 7
Michael McCaul | House | TX | 10
Lisa McClain | House | MI | 9
Jennifer McClellan | House | VA | 4
Tom McClintock | House | CA | 5
Betty McCollum | House | MN | 4
Rich McCormick | House | GA | 6
Morgan McGarvey | House | KY | 3
Jim McGovern | House | MA | 2
Patrick McHenry | House | NC | 10
Howard McKeon | House | CA | 25
David McKinley | House | WV | 1
Cathy McMorris Rodgers | House | WA | 5
Gregory Meeks | House | NY | 5
Rob Menendez | House | NJ | 8
