Aderholt, Robert B. | Alabama 4
Aguilar, Pete | California 33
Allred, Colin Z. | Texas 32
Amodei, Mark E. | Nevada 2
Armstrong, Kelly | North Dakota At-Large
Arrington, Jodey C. | Texas 19
Auchincloss, Jake | Massachusetts 4
Aust, Rick | Texas 25
Bacon, Don | Nebraska 2
Baird, James R. | Indiana 4
Balderson, Troy | Ohio 12
Banks, Jim | Indiana 3
Barr, Andy | Kentucky 6
Barragán, Nanette | California 44
Barrera, Monica De La Cruz | Texas 15
Bartz, Lori Chavez-DeRemer | Oregon 5
Basil, Nick LaLota | New York 1
Beatty, Joyce | Ohio 3
Bentz, Cliff | Oregon 2
Bera, Ami | California 6
Bergman, Jack | Michigan 1
Bice, Stephanie | Oklahoma 5
Bilirakis, Gus | Florida 12
Bishop, Dan | North Carolina 8
Bishop, Sanford D. Jr. | Georgia 2
Blumenauer, Earl | Oregon 3
Boebert, Lauren | Colorado 4
Bost, Mike | Illinois 12
Bowman, Jamaal | New York 16
Boyle, Brendan F. | Pennsylvania 2
Buchanan, Vern | Florida 16
Buck, Ken | Colorado 4
Bucshon, Larry | Indiana 8
Bud, Ted | North Carolina 13
Burchett, Tim | Tennessee 2
Burgess, Michael C. | Texas 26
Burlison, Eric | Missouri 7
Bush, Cori | Missouri 1
Calvert, Ken | California 41
Cammack, Kat | Florida 3
Carbajal, Salud | California 24
Carter, Buddy | Georgia 1
Carter, John R. | Texas 31
Carter, Troy | Louisiana 2
Cartwright, Matt | Pennsylvania 8
Case, Ed | Hawaii 1
Casten, Sean | Illinois 6
Castor, Kathy | Florida 14
Castro, Joaquin | Texas 20
Cawthorn, Madison | North Carolina 11
Chabot, Steve | Ohio 1
Chavez-DeRemer, Lori | Oregon 5
Cherfilus-McCormick, Sheila | Florida 20
Chu, Judy | California 28
Cicilline, David N. | Rhode Island 1
Clark, Katherine M. | Massachusetts 5
Clarke, Yvette D. | New York 9
Cleaver, Emanuel | Missouri 5
Cline, Ben | Virginia 6
Cloud, Michael | Texas 27
Clyburn, James E. | South Carolina 6
Cohen, Steve | Tennessee 9
Cole, Tom | Oklahoma 4
Comer, James | Kentucky 1
Connolly, Gerald E. | Virginia 11
Conway, Mike | Texas 11
Cooper, Jim | Tennessee 5
Correa, Lou | California 46
Costa, Jim | California 21
Courtney, Joe | Connecticut 2
Craig, Angie | Minnesota 2
Crawford, Rick | Arkansas 1
Crenshaw, Dan | Texas 2
Crist, Charlie | Florida 13
Crow, Jason | Colorado 6
Cuellar, Henry | Texas 28
Curtis, John | Utah 3
D'Esposito, Anthony | New York 4
Davids, Sharice | Kansas 3
Davidson, Warren | Ohio 8
Davis, Danny K. | Illinois 7
Davis, Rodney | Illinois 13
Dean, Madeleine | Pennsylvania 4
DeGette, Diana | Colorado 1
DeLauro, Rosa L. | Connecticut 3
DelBene, Suzan K. | Washington 1
Delgado, Antonio | New York 19
Demings, Val | Florida 10
DeSaulnier, Mark | California 11
DesJarlais, Scott | Tennessee 4
Deutch, Ted | Florida 22
Diaz-Balart, Mario | Florida 25
Dingell, Debbie | Michigan 12
Doggett, Lloyd | Texas 35
Donalds, Byron | Florida 19
Doyle, Michael F. | Pennsylvania 18
Dunn, Neal P. | Florida 2
Duncan, Jeff | South Carolina 3
Dunn, Neal P. | Florida 2
Edwards, Chuck | North Carolina 11
Ellzey, Jake | Texas 6
Emmer, Tom | Minnesota 6
Escobar, Veronica | Texas 16
Eshoo, Anna G. | California 18
Espaillat, Adriano | New York 13
Estes, Ron | Kansas 4
Evans, Dwight | Pennsylvania 3
Fallon, Pat | Texas 4
Ferguson, Drew | Georgia 3
Finstad, Brad | Minnesota 1
Fischbach, Michelle | Minnesota 7
Fitzgerald, Scott | Wisconsin 5
Fitzpatrick, Brian K. | Pennsylvania 1
Fleischmann, Chuck | Tennessee 3
Fletcher, Lizzie | Texas 7
Flood, Mike | Nebraska 1
Foster, Bill | Illinois 11
Foxx, Virginia | North Carolina 5
Frankel, Lois | Florida 22
Franklin, Scott | Florida 18
Frost, Maxwell | Florida 10
Fulcher, Russ | Idaho 1
Gaetz, Matt | Florida 1
Gallagher, Mike | Wisconsin 8
Gallego, Ruben | Arizona 3
Garamendi, John | California 8
Garbarino, Andrew | New York 2
Garcia, Jesus "Chuy" | Illinois 4
Garcia, Mike | California 27
Garcia, Robert | California 42
Garcia, Sylvia R. | Texas 29
Gibbs, Bob | Ohio 7
Gimenez, Carlos A. | Florida 28
Gohmert, Louie | Texas 1
Golden, Jared F. | Maine 2
Gomez, Jimmy | California 34
Gonzales, Tony | Texas 23
Gonzalez, Anthony | Ohio 16
Gonzalez, Vicente | Texas 34
Good, Bob | Virginia 5
Gooden, Lance | Texas 5
Gosar, Paul A. | Arizona 9
Gottheimer, Josh | New Jersey 5
Granger, Kay | Texas 12
Graves, Garret | Louisiana 6
Graves, Sam | Missouri 6
Green, Al | Texas 9
Green, Mark E. | Tennessee 7
Greene, Marjorie Taylor | Georgia 14
Griffith, H. Morgan | Virginia 9
Grijalva, Raúl M. | Arizona 7
Grothman, Glenn | Wisconsin 6
Guest, Michael | Mississippi 3
Guthrie, Brett | Kentucky 2
Haaland, Deb | New Mexico 1
Hagedorn, Jim | Minnesota 1
Harder, Josh | California 10
Harris, Andy | Maryland 1
Harshbarger, Diana | Tennessee 1
Hartzler, Vicky | Missouri 4
Hayes, Jahana | Connecticut 5
Hern, Kevin | Oklahoma 1
Herrell, Yvette | New Mexico 2
Herrera Beutler, Jaime | Washington 3
Hice, Jody | Georgia 10
Higgins, Brian | New York 26
