Compiling the list of current U.S. House Representatives (2024) with last names I-Q and their districts/states for birth state research:

1. Ilhan Omar | MN-5
2. Indian, Greg | OK-2
3. Issa, Darrell | CA-48
4. Ivey, Glenn | MD-4
5. Jackson, Jonathan | IL-1
6. Jackson, Jeff | NC-14
7. Jackson, Ronny | TX-13
8. Jackson Lee, Sheila | TX-18
9. Jacobs, Sara | CA-51
10. James, John | MI-10
11. Jayapal, Pramila | WA-7
12. Jeffries, Hakeem | NY-8
13. Johnson, Bill | OH-6
14. Johnson, Dusty | SD-AL
15. Johnson, Hank | GA-4
16. Johnson, Mike | LA-4
17. Johnson, Wesley | MS-2
18. Jordan, Jim | OH-4
19. Joyce, David | OH-14
20. Joyce, John | PA-13
21. Kahele, Kaiali'i | HI-2
22. Kamlager-Dove, Sydney | CA-37
23. Kaptur, Marcy | OH-9
24. Kean, Thomas | NJ-7
25. Keating, Bill | MA-9
26. Kelly, Mike | PA-16
27. Kelly, Robin | IL-2
28. Khanna, Ro | CA-17
29. Kildee, Dan | MI-8
30. Kilmer, Derek | WA-6
31. Kim, Andy | NJ-3
32. Kim, Young | CA-40
33. Kuster, Ann McLane | NH-2
34. Kustoff, David | TN-8
35. LaHood, Darin | IL-16
36. LaMalfa, Doug | CA-1
37. Lamborn, Doug | CO-5
38. Landsman, Greg | OH-1
39. Langworthy, Nick | NY-23
40. Larsen, Rick | WA-2
41. Larson, John | CT-1
42. Latta, Bob | OH-5
43. LaTurner, Jake | KS-2
44. Lawler, Mike | NY-17
45. Lee, Barbara | CA-12
46. Lee, Summer | PA-12
47. Lee, Susie | NV-3
48. Leger Fernandez, Teresa | NM-3
49. Lesko, Debbie | AZ-8
50. Letlow, Julia | LA-5
51. Levin, Mike | CA-49
52. Lieu, Ted | CA-36
53. Lofgren, Zoe | CA-18
54. Loudermilk, Barry | GA-11
55. Lucas, Frank | OK-3
56. Luetkemeyer, Blaine | MO-3
57. Luna, Anna Paulina | FL-13
58. Luttrell, Morgan | TX-8
59. Lynch, Stephen | MA-8
60. Mace, Nancy | SC-1
61. Magaziner, Seth | RI-2
62. Malliotakis, Nicole | NY-11
63. Maloy, Celeste | UT-2
64. Mann, Tracey | KS-1
65. Manning, Kathy | NC-6
66. Massie, Thomas | KY-4
67. Mast, Brian | FL-21
68. Matsui, Doris | CA-7
69. McBath, Lucy | GA-7
70. McCaul, Michael | TX-10
71. McClain, Lisa | MI-9
72. McClellan, Jennifer | VA-4
73. McClintock, Tom | CA-5
74. McCollum, Betty | MN-4
75. McCormick, Rich | GA-6
76. McGarvey, Morgan | KY-3
77. McGovern, Jim | MA-2
78. McHenry, Patrick | NC-10
79. McKeon, Howard | CA-25
80. McKinley, David | WV-1
81. McMorris Rodgers, Cathy | WA-5
82. Meeks, Gregory | NY-5
83. Menendez, Rob | NJ-8
84. Meng, Grace | NY-6
85. Meuser, Dan | PA-9
86. Mfume, Kweisi | MD-7
87. Miller, Carol | WV-1
88. Miller, Mary | IL-15
89. Miller-Meeks, Mariannette | IA-1
90. Mills, Cory | FL-7
91. Miller, Max | OH-7
92. Molinaro, Marc | NY-19
93. Moolenaar, John | MI-2
94. Mooney, Alex | WV-2
95. Moore, Barry | AL-2
96. Moore, Blake | UT-1
97. Moore, Gwen | WI-4
98. Moore, Steven | GA-3
99. Moran, Nathaniel | TX-1
100. Morelle, Joseph | NY-25
101. Moskowitz, Jared | FL-23
102. Moulton, Seth | MA-6
103. Mrvan, Frank | IN-1
104. Mullin, Markwayne | OK-2
105. Murphy, Gregory | NC-3
106. Nadler, Jerry | NY-12
107. Napolitano, Grace | CA-31
108. Neal, Richard | MA-1
109. Neguse, Joe | CO-2
110. Nehls, Troy | TX-22
111. Newhouse, Dan | WA-4
112. Nickel, Wiley | NC-13
113. Norcross, Donald | NJ-1
114. Norman, Ralph | SC-5
115. Norton, Eleanor Holmes | DC-AL
116. Nunn, Zach | IA-3
117. Ocasio-Cortez, Alexandria | NY-14
118. Ogles, Andy | TN-5
119. Omar, Ilhan | MN-5
120. Owens, Burgess | UT-4
121. Pallone, Frank | NJ-6
122. Palmer, Gary | AL-6
123. Panetta, Jimmy | CA-19
124. Pappas, Chris | NH-1
125. Pascrell, Bill | NJ-9
126. Payne, Donald | NJ-10
127. Pelosi, Nancy | CA-11
128. Peltola, Mary | AK-AL
129. Pence, Greg | IN-6
130. Perez, Marie Gluesenkamp | WA-3
131. Perry, Scott | PA-10
132. Peters, Scott | CA-50
133. Pettersen, Brittany | CO-7
134. Pfluger, August | TX-11
135. Phillips, Dean | MN-3
136. Pingree, Chellie | ME-1
137. Plaskett, Stacey | VI-AL
138. Pocan, Mark | WI-2
139. Porter, Katie | CA-47
140. Posey, Bill | FL-8
141. Pressley, Ayanna | MA-7
142. Quigley, Mike | IL-5

(This list will be used for birth state research and filtering for out-of-state births.)
