Balint, Becca | VT-At Large | Germany
Beyer, Don | VA-08 | Free Territory of Trieste
Carbajal, Salud | CA-24 | Mexico
Casten, Sean | IL-06 | Ireland
Ciscomani, Juan | AZ-06 | Mexico
Clyde, Andrew | GA-09 | Canada
Crenshaw, Dan | TX-02 | Scotland
Davids, Sharice | KS-03 | Germany
DeGette, Diana | CO-01 | Japan
Espaillat, Adriano | NY-13 | Dominican Republic
García, Jesús G. “Chuy” | IL-04 | Mexico
Garcia, Robert | CA-42 | Peru
Gimenez, Carlos | FL-28 | Cuba
Himes, James | CT-04 | Peru
Jayapal, Pramila | WA-07 | India
Kim, Andy | NJ-03 | Massachusetts
Kim, Young | CA-40 | South Korea
Krishnamoorthi, Raja | IL-08 | India
Meng, Grace | NY-06 | New York
Ocasio-Cortez, Alexandria | NY-14 | New York
Pallone, Frank | NJ-06 | New York
Sablan, Gregorio | MP-At Large | Saipan, Northern Mariana Islands
Salazar, Maria Elvira | FL-27 | Cuba
Schakowsky, Jan | IL-09 | Illinois
Schrier, Kim | WA-08 | California
Soto, Darren | FL-09 | New Jersey
Stefanik, Elise | NY-21 | New York
Thanedar, Shri | MI-13 | India
Tokuda, Jill | HI-02 | Hawaii
Torres, Norma | CA-35 | Guatemala
Vargas, Juan | CA-52 | Mexico
Vasquez, Gabe | NM-02 | Texas
Wasserman Schultz, Debbie | FL-25 | New York
Wild, Susan | PA-07 | Germany
Zinke, Ryan | MT-01 | North Dakota
