Alabama: Katie Britt (R), Tommy Tuberville (R)
Alaska: Lisa Murkowski (R), Dan Sullivan (R)
Arizona: Mark Kelly (D), Ruben Gallego (D)
Arkansas: John Boozman (R), Tom Cotton (R)
California: Alex Padilla (D), Adam Schiff (D)
Colorado: Michael Bennet (D), John Hickenlooper (D)
Connecticut: Richard Blumenthal (D), Chris Murphy (D)
Delaware: Chris Coons (D), Lisa Blunt Rochester (D)
Florida: Rick Scott (R), Ashley Moody (R)
Georgia: Jon Ossoff (D), Raphael Warnock (D)
Hawaii: Mazie Hirono (D), Brian Schatz (D)
Idaho: Mike Crapo (R), Jim Risch (R)
Illinois: Tammy Duckworth (D), Dick Durbin (D)
Indiana: Jim Banks (R), Todd Young (R)
Iowa: Chuck Grassley (R), Joni Ernst (R)
Kansas: Jerry Moran (R), Roger Marshall (R)
Kentucky: Mitch McConnell (R), Rand Paul (R)
Louisiana: Bill Cassidy (R), John Kennedy (R)
Maine: Susan Collins (R), Angus King (I)
Maryland: Ben Cardin (D), Angela Alsobrooks (D)
Massachusetts: Elizabeth Warren (D), Ed Markey (D)
Michigan: Gary Peters (D), Elissa Slotkin (D)
Minnesota: Amy Klobuchar (D), Tina Smith (D)
Mississippi: Roger Wicker (R), Cindy Hyde-Smith (R)
Missouri: Josh Hawley (R), Eric Schmitt (R)
Montana: Jon Tester (D), Tim Sheehy (R)
Nebraska: Deb Fischer (R), Pete Ricketts (R)
Nevada: Catherine Cortez Masto (D), Jacky Rosen (D)
New Hampshire: Jeanne Shaheen (D), Maggie Hassan (D)
New Jersey: Bob Menendez (D), Andy Kim (D)
New Mexico: Martin Heinrich (D), Ben Ray Luján (D)
New York: Chuck Schumer (D), Kirsten Gillibrand (D)
North Carolina: Thom Tillis (R), Ted Budd (R)
North Dakota: John Hoeven (R), Kevin Cramer (R)
Ohio: Sherrod Brown (D), JD Vance (R)
Oklahoma: Markwayne Mullin (R), James Lankford (R)
Oregon: Ron Wyden (D), Jeff Merkley (D)
Pennsylvania: Bob Casey (D), John Fetterman (D)
Rhode Island: Jack Reed (D), Sheldon Whitehouse (D)
South Carolina: Lindsey Graham (R), Tim Scott (R)
South Dakota: John Thune (R), Mike Rounds (R)
Tennessee: Marsha Blackburn (R), Bill Hagerty (R)
Texas: John Cornyn (R), Ted Cruz (R)
Utah: Mike Lee (R), John Curtis (R)
Vermont: Bernie Sanders (I), Peter Welch (D)
Virginia: Mark Warner (D), Tim Kaine (D)
Washington: Patty Murray (D), Maria Cantwell (D)
West Virginia: Joe Manchin (D), Shelley Moore Capito (R)
Wisconsin: Tammy Baldwin (D), Ron Johnson (R)
Wyoming: John Barrasso (R), Cynthia Lummis (R)
