McConnell, Mitch | Kentucky
Menendez, Robert | New Jersey
Merkley, Jeff | Oregon
Moran, Jerry | Kansas
Murkowski, Lisa | Alaska
Murphy, Christopher | Connecticut
Murray, Patty | Washington
Ossoff, Jon | Georgia
Padilla, Alex | California
Paul, Rand | Kentucky
Peters, Gary C. | Michigan
Ricketts, Pete | Nebraska
Risch, James E. | Idaho
Romney, Mitt | Utah
Rosen, Jacky | Nevada
Rounds, Mike | South Dakota
Rubio, Marco | Florida
Sanders, Bernie | Vermont
Schatz, Brian | Hawaii
Schmitt, Eric | Missouri
Scott, Rick | Florida
Scott, Tim | South Carolina
Shaheen, Jeanne | New Hampshire
Sinema, Kyrsten | Arizona
Smith, Tina | Minnesota
Sullivan, Dan | Alaska
Tester, Jon | Montana
Thune, John | South Dakota
Tillis, Thom | North Carolina
Tuberville, Tommy | Alabama
Van Hollen, Chris | Maryland
Vance, J.D. | Ohio
Warner, Mark R. | Virginia
Warnock, Raphael G. | Georgia
Warren, Elizabeth | Massachusetts
Welch, Peter | Vermont
Whitehouse, Sheldon | Rhode Island
Wicker, Roger F. | Mississippi
Wyden, Ron | Oregon
Young, Todd | Indiana
