project_name | status | country | region | city | site_address | latitude | longitude | operator | developer | builder | vendors | capacity_mw | it_load_mw | racks | sqft | start_date | completion_date | sources
Jingxi Zhigu AI Computing Center | completed | China | Beijing | Beijing | Jingxi Zhigu | 39.9053 (approximate) | 116.3128 (approximate) | Jingxi Zhigu | - | - | - | - | - | - | - | - | 2023 | https://www.bita.org.cn/newsinfo/7238012.html
Beijing Ascend AI Computing Center | completed | China | Beijing | Beijing | Zhongguancun Mentougou Park | 39.9811 (approximate) | 116.3089 (approximate) | - | - | - | - | - | - | - | - | - | 2023 | https://idcdaohang.com/industry/5731.html
Shanghai Supercomputing Center (Shanghai AI Public Computing Service Platform) | operational | China | Shanghai | Shanghai | - | 31.2304 (approximate) | 121.4737 (approximate) | - | - | - | - | - | - | - | - | - | 2023 | https://www.bita.org.cn/newsinfo/7238012.html
Tencent Yangtze River Delta AI Advanced Computing Center | operational | China | Shanghai | Shanghai | - | 31.2304 (approximate) | 121.4737 (approximate) | Tencent | - | - | - | - | - | - | - | - | 2023 | https://www.bita.org.cn/newsinfo/7238012.html
Alibaba Cloud East China Intelligent Computing Center | operational | China | Shanghai | Shanghai | - | 31.2304 (approximate) | 121.4737 (approximate) | Alibaba Cloud | - | - | - | - | - | - | - | - | 2023 | https://www.bita.org.cn/newsinfo/7238012.html
SenseTime AI Computing Center | operational | China | Shanghai | Shanghai | - | 31.2304 (approximate) | 121.4737 (approximate) | SenseTime | - | - | - | - | - | - | - | - | 2023 | https://www.bita.org.cn/newsinfo/7238012.html
UCloud Lingang Cloud Data Center | operational | China | Shanghai | Shanghai | - | 31.2304 (approximate) | 121.4737 (approximate) | UCloud | - | - | - | - | - | - | - | - | 2023 | https://www.bita.org.cn/newsinfo/7238012.html
China Mobile Yangtze River Delta (Yangzhou) Data Center | under construction | China | Jiangsu | Yangzhou | Yizheng | 32.2667 | 119.1833 | China Mobile | - | - | - | - | - | 25600 | 240000 | 2023 | - | http://china.idcdaohang.com/news/351.html
Tenglong Bay Area Data Center | completed | China | Guangdong | Foshan | Xiqiao Town, Nanhai District | 22.9345 | 112.9648 | Tenglong | - | - | - | - | - | 5000 | 57000 | 2023 | 2023-07 | http://www.inherodata.com/detail.php?id=195
Heying Data (Huailai) Technology Industrial Park | completed | China | Hebei | Zhangjiakou | Huailai | 40.4170 | 115.5170 | Heying Data | - | - | - | - | - | 1000000 | - | 2023 | 2023 | https://idcdaohang.com/industry/5731.html
Hebei AI Computing Center | completed | China | Hebei | Langfang | Langfang Development Zone | 39.5208 (approximate) | 116.7147 (approximate) | - | - | - | - | - | - | - | 12000 | 2023 | 2023-03 | http://www.inherodata.com/detail.php?id=195
Keppel Data Center Shanghai Qingpu Project | under construction | China | Shanghai | Shanghai | Songying Road, Zhaoxiang Town, Qingpu District | 31.1490 | 121.1962 | Keppel | - | - | - | - | - | 30000 | 22226 | 2023 | - | http://www.inherodata.com/detail.php?id=195
China Telecom Anhui AI Computing Center | operational | China | Anhui | Hefei | - | 31.8206 (approximate) | 117.2296 (approximate) | China Telecom | - | - | - | - | - | 16000 | - | 2022 | - | https://finance.sina.cn/2023-05-15/detail-imytwaaw0513682.d.html
China Mobile Guiyang-Gui'an Data Center | operational | China | Guizhou | Guiyang | - | 26.6477 (approximate) | 106.6302 (approximate) | China Mobile | - | - | - | - | - | 20000 | - | 2022 | - | https://finance.sina.cn/2023-05-15/detail-imytwaaw0513682.d.html
China Telecom Inner Mongolia Information Park A5 Data Center | operational | China | Inner Mongolia | Hohhot | - | 40.8183 (approximate) | 111.6629 (approximate) | China Telecom | - | - | - | - | - | 72900 | 1006000 | - | - | https://finance.sina.cn/2023-05-15/detail-imytwaaw0513682.d.html
China Unicom Huailai Big Data Innovation Industrial Park | operational | China | Hebei | Zhangjiakou | Huailai | 40.4170 | 115.5170 | China Unicom | - | - | - | - | - | 85000 | - | - | - | https://sjzyj.wuhu.gov.cn/xwzx/bmyw/8587150.html
China Telecom Qingyang Cloud Computing Big Data Center | operational | China | Gansu | Qingyang | - | 35.7091 (approximate) | 107.6429 (approximate) | China Telecom | - | - | - | - | - | 22500 | - | - | - | https://sjzyj.wuhu.gov.cn/xwzx/bmyw/8587150.html
