# Aggregated 50MW+ AI Datacenter Projects in the Americas
# Format: project_name | status | country | region | city | site_address | latitude | longitude | operator | developer | builder | vendors | capacity_mw | it_load_mw | racks | sqft | start_date | completion_date | sources

# Canada
Wonder Valley AI Data Centre Industrial Park | Announced | Canada | Alberta | Greenview | Greenview Industrial Gateway, near Grande Prairie | 55.1875 | -117.2481 | O'Leary Ventures | O'Leary Ventures | TBD | TBD | 7000 | TBD | TBD | 7000 acres | 2024-12-09 | 2030+ (phased) | https://www.datacentreassociation.ca/project-tracker, https://www.prnewswire.com/news-releases/kevin-oleary-in-cooperation-with-the-municipal-district-of-greenview-to-develop-the-worlds-largest-ai-data-centre-industrial-park-wonder-valley-in-the-greenview-industrial-gateway-gig-near-grande-prairie-in-north-west-albe-302326230.html, https://mdgreenview.ab.ca/media-release-worlds-largest-ai-data-centre-industrial-park-wonder-valley-coming-to-the-greenview-industrial-gateway/
Beacon Langdon Artificial Intelligence Hub | Planned | Canada | Alberta | Rocky View County (near Indus) | Township Rd 232, T1X 0H4 Bennett | 51.0333 (approx) | -113.7000 (approx) | Beacon Data Centres | Beacon Data Centres | TBD | TBD | 400 | TBD | TBD | 946 acres | 2025 | TBD | https://www.datacentermap.com/canada/calgary/beacon-langdon-ai-hub/, https://majorprojects.alberta.ca/details/Beacon-Langdon-Artificial-Intelligence-Hub/11492
Bell AI Fabric Supercluster | Under Construction | Canada | British Columbia | Kamloops, Merritt | Multiple: Kamloops (TRU), Merritt | 50.6745 (Kamloops, approx), 50.1122 (Merritt, approx) | -120.3273 (Kamloops, approx), -120.7896 (Merritt, approx) | Bell Canada | Bell Canada | TBD | Groq | 500 | TBD | TBD | TBD | 2025-06 | 2027 (phased) | https://www.datacenterdynamics.com/en/news/bell-ai-fabric-bell-canada-plans-ai-data-center-supercluster-with-500mw-in-british-columbia/, https://explore.business.bell.ca/news-and-events/increasing-sovereign-ai-capacity-introducing-bell-ai-fabric
CAL-3 eStruxture Hyperscale | Permitted | Canada | Alberta | Rocky View County (north of Calgary) | Rocky View County, 5km north of Calgary | 51.2000 (approx) | -114.0000 (approx) | eStruxture | eStruxture | TBD | TBD | 90 | TBD | TBD | 300000 | 2024-10 | 2026-10 | https://www.estruxture.com/press-releases/estruxture-announces-albertas-largest-data-center-introducing-the-groundbreaking-cal-3-facility, https://www.datacenterdynamics.com/en/news/canadas-estruxture-to-build-90mw-data-center-in-calgary/
Related Digital/Ascent Cambridge Hyperscale | Under Construction | Canada | Ontario | Cambridge | TBD | 43.3616 (approx) | -80.3144 (approx) | Ascent, Related Digital, TowerBrook Capital Partners | Ascent, Related Digital, TowerBrook Capital Partners | TBD | TBD | 54 | TBD | TBD | TBD | 2025-07 | TBD | https://www.cppinvestments.com/newsroom/cpp-investments-commits-to-225-million-in-construction-financing-for-ontario-data-centre/, https://www.related-digital.com/news/cpp-investments-commits-to-225-million-in-construction-financing-for-ontario-data-centrenbsp

Yondr Toronto Data Center | Under Construction | Canada | Ontario | Toronto | 4.5-acre site, Don Valley North (exact address TBD) | 43.7700 (approx) | -79.3400 (approx) | Yondr Group | Yondr Group | TBD | TBD | 27 | TBD | TBD | TBD | 2025-01 | 2026-07 | https://www.yondrgroup.com/newsroom/press-release/yondr-group-celebrates-groundbreaking-for-27mw-toronto-data-center/, https://www.datacenterdynamics.com/en/news/yondr-breaks-ground-on-27mw-data-center-in-toronto-canada/

# Brazil
Scala AI City | planned | Brazil | Rio Grande do Sul | Eldorado do Sul | Approx. 32km from Porto Alegre, municipality of Eldorado do Sul | -30.0847 | -51.6206 | Scala Data Centers | Scala Data Centers | Unknown | Unknown | 54 | 54 | Unknown | Unknown | 2024-09-11 | Unknown | https://www.datacenterdynamics.com/en/news/scala-ai-city-scala-pitches-50bn-brazil-data-center-campus-of-up-to-47gw/, https://scaladatacenters.com/en/with-an-initial-investment-of-usd-500-million-scala-data-centers-and-rio-grande-do-sul-government-sign-agreement-for-largest-digital-infrastructure-project-in-the-state-of-southern-brazil/
Rio AI City | announced | Brazil | Rio de Janeiro | Rio de Janeiro | Olympic Park, Rio de Janeiro | -22.9756 | -43.3656 | Elea Data Centers | Elea Data Centers | Unknown | Unknown | 1800 | Unknown | Unknown | Unknown | 2025-04-27 | 2027 | https://www.datacenterdynamics.com/en/news/rio-de-janeiro-set-to-host-latin-americas-largest-data-center-campus/, https://www.youtube.com/watch?v=Okc_f0FuFjo
