Oracle Cloud Tokyo Region Data Center Campus | completed/expanding | Japan | Kanto | Tokyo | (site not specified) | 35.6895 | 139.6917 | Oracle Corporation Japan | Oracle | N/A | N/A | N/A | N/A | N/A | N/A | 2019 | 2024 (expansion) | https://www.oracle.com/news/announcement/oracle-to-invest-more-than-eight-billion-in-cloud-computing-and-ai-in-japan-2024-04-17/; https://www.datacenterplanet.com/news/cloud/oracle-opens-new-cloud-region-in-tokyo/
Oracle Cloud Osaka Region Data Center Campus | completed/expanding | Japan | Kansai | Osaka | (site not specified) | 34.6937 | 135.5023 | Oracle Corporation Japan | Oracle | N/A | N/A | N/A | N/A | N/A | N/A | 2020 | 2024 (expansion) | https://www.oracle.com/news/announcement/oracle-to-invest-more-than-eight-billion-in-cloud-computing-and-ai-in-japan-2024-04-17/; https://www.datacenters.com/oracle-japan-central-ap-osaka-1/
Hokkaido Tomakomai AI Data Center (SoftBank) | under construction | Japan | Hokkaido | Tomakomai | 49-85 Kashiwahara, 059-1362 Tomakomai, Hokkaido | 42.6347 | 141.6031 | SoftBank, IDC Frontier | SoftBank | N/A | N/A | 300 | 50 (phase 1) | N/A | 7,500,000 | 2025 | 2026 (phase 1), 2030+ (full build) | https://www.softbank.jp/en/sbnews/entry/20250501_01; https://w.media/softbank-breaks-ground-for-ai-data-center-in-hokkaido/; https://www.datacenterdynamics.com/en/news/softbank-breaks-ground-on-data-center-campus-in-hokkaido-japan/; https://www.datacentermap.com/japan/sapporo/softbank-hokkaido-data-center/; https://thetechcapital.com/softbank-breaks-ground-on-300mw-ai-data-centre-in-hokkaido/
MC Digital Realty NRT Campus (NRT10/12/14) | completed/under construction/planned | Japan | Kanto | Inzai, Chiba | 2-9 Otsuka, Inzai-city, Chiba 270-1352 | 35.7972 | 140.0997 | MC Digital Realty (Mitsubishi Corporation & Digital Realty JV) | MC Digital Realty | N/A | N/A | 73 (NRT10+NRT12), 31 (NRT14 planned) | up to 70kW/rack | N/A | 296,000 (NRT12), 124,180 (NRT10) | 2019 | 2025 (NRT14) | https://www.digitalrealty.com/data-centers/asia-pacific/tokyo/nrt10; https://www.datacenterdynamics.com/en/news/digital-realty-and-mitsubishi-open-34mw-data-center-in-inzai-city-japan/; https://www.datacenterdynamics.com/en/news/digital-realty-breaks-ground-on-31mw-inzai-data-center-in-japan/; https://www.mingtiandi.com/real-estate/data-centres/mitsubishi-digital-realty-jv-adds-34mw-data-centre-to-greater-tokyo-campus/
MC Digital Realty KIX Campus (KIX13) | completed | Japan | Kansai | Minoh, Osaka | 5-2-1 Saitoaokita, Minoh City, Osaka 562-0029 | 34.8850 | 135.5330 | MC Digital Realty (Mitsubishi Corporation & Digital Realty JV) | MC Digital Realty | N/A | N/A | 21 | N/A | N/A | 250,000 | 2023 | 2023 | https://www.digitalrealty.com/data-centers/asia-pacific/osaka/kix13; https://www.datacenterdynamics.com/en/news/mitsubishi-digital-realty-jv-launches-new-data-center-in-osaka-japan/; https://www.datacentermap.com/japan/osaka/digital-realty-osaka-kix13/
Keppel DC Tokyo 2 | under construction | Japan | Kanto | Sagamihara, Tokyo | 4-chome-2 Hashimotodai, Sagamihara, 252-0132 | 35.5931 | 139.3736 | Keppel Data Centres | Mitsui Fudosan (core & shell), Keppel (fit-out) | Mitsui Fudosan (core & shell), Keppel (fit-out) | N/A | 50+ | N/A | N/A | 300,000 | 2024 | 2027 | https://www.keppel.com/media/keppel-secures-ai-ready-hyperscale-data-centre-project-in-japan-from-mitsui-fudosan/; https://www.datacenterdynamics.com/en/news/keppel-acquires-data-center-development-project-in-tokyo-japan/; https://www.datacentermap.com/japan/tokyo/keppel-tokyo-data-centre-2/
CapitaLand Osaka Data Center | planned | Japan | Kansai | Osaka | 1-chome-1 Saitohanada, 567-0082 Osaka | 34.8222 | 135.5681 | CapitaLand Investment Limited | CapitaLand | N/A | N/A | 50 | N/A | N/A | N/A | 2025 | 2027 | https://www.datacenterdynamics.com/en/news/capitaland-plans-50mw-data-center-in-osaka-japan/; https://www.datacentermap.com/japan/osaka/capitaland-osaka/; https://connectcx.ai/capitalands-700m-leap-establishing-a-50mw-ai-ready-data-hub-in-osaka/
Jingxi Zhigu AI Computing Center | completed | China | Beijing | Beijing | - | - | - | Jingxi Zhigu | - | - | - | - | - | - | - | - | 2023 | https://www.bita.org.cn/newsinfo/7238012.html
Beijing Ascend AI Computing Center | completed | China | Beijing | Beijing | Zhongguancun Mentougou Park | - | - | - | - | - | - | - | - | - | - | 2023 | https://idcdaohang.com/industry/5731.html
Shanghai Supercomputing Center (Shanghai AI Public Computing Service Platform) | operational | China | Shanghai | Shanghai | - | - | - | - | - | - | - | - | - | - | - | - | 2023 | https://www.bita.org.cn/newsinfo/7238012.html
Tencent Yangtze River Delta AI Advanced Computing Center | operational | China | Shanghai | Shanghai | - | - | - | Tencent | - | - | - | - | - | - | - | - | 2023 | https://www.bita.org.cn/newsinfo/7238012.html
Alibaba Cloud East China Intelligent Computing Center | operational | China | Shanghai | Shanghai | - | - | - | Alibaba Cloud | - | - | - | - | - | - | - | - | 2023 | https://www.bita.org.cn/newsinfo/7238012.html
SenseTime AI Computing Center | operational | China | Shanghai | Shanghai | - | - | - | SenseTime | - | - | - | - | - | - | - | - | 2023 | https://www.bita.org.cn/newsinfo/7238012.html
UCloud Lingang Cloud Data Center | operational | China | Shanghai | Shanghai | - | - | - | UCloud | - | - | - | - | - | - | - | - | 2023 | https://www.bita.org.cn/newsinfo/7238012.html
China Mobile Yangtze River Delta (Yangzhou) Data Center | under construction | China | Jiangsu | Yangzhou | Yizheng | - | - | China Mobile | - | - | - | - | - | 25600 | 240000 | 2023 | - | http://china.idcdaohang.com/news/351.html
Tenglong Bay Area Data Center | completed | China | Guangdong | Foshan | Xiqiao Town, Nanhai District | - | - | Tenglong | - | - | - | - | - | 5000 | 57000 | 2023 | 2023-07 | http://www.inherodata.com/detail.php?id=195
Heying Data (Huailai) Technology Industrial Park | completed | China | Hebei | Zhangjiakou | Huailai | - | - | Heying Data | - | - | - | - | - | 1000000 | - | 2023 | 2023 | https://idcdaohang.com/industry/5731.html
Hebei AI Computing Center | completed | China | Hebei | Langfang | Langfang Development Zone | - | - | - | - | - | - | - | - | - | 12000 | 2023 | 2023-03 | http://www.inherodata.com/detail.php?id=195
Keppel Data Center Shanghai Qingpu Project | under construction | China | Shanghai | Shanghai | Songying Road, Zhaoxiang Town, Qingpu District | - | - | Keppel | - | - | - | - | - | 30000 | 22226 | 2023 | - | http://www.inherodata.com/detail.php?id=195
China Telecom Anhui AI Computing Center | operational | China | Anhui | Hefei | - | - | - | China Telecom | - | - | - | - | - | 16000 | - | 2022 | - | https://finance.sina.cn/2023-05-15/detail-imytwaaw0513682.d.html
China Mobile Guiyang-Gui'an Data Center | operational | China | Guizhou | Guiyang | - | - | - | China Mobile | - | - | - | - | - | 20000 | - | 2022 | - | https://finance.sina.cn/2023-05-15/detail-imytwaaw0513682.d.html
China Telecom Inner Mongolia Information Park A5 Data Center | operational | China | Inner Mongolia | Hohhot | - | - | - | China Telecom | - | - | - | - | - | 72900 | 1006000 | - | - | https://finance.sina.cn/2023-05-15/detail-imytwaaw0513682.d.html
China Unicom Huailai Big Data Innovation Industrial Park | operational | China | Hebei | Zhangjiakou | Huailai | - | - | China Unicom | - | - | - | - | - | 85000 | - | - | - | https://sjzyj.wuhu.gov.cn/xwzx/bmyw/8587150.html
China Telecom Qingyang Cloud Computing Big Data Center | operational | China | Gansu | Qingyang | - | - | - | China Telecom | - | - | - | - | - | 22500 | - | - | - | https://sjzyj.wuhu.gov.cn/xwzx/bmyw/8587150.html
