East Havering Data Centre Campus | Planned | United Kingdom | London | Havering | Corner of Fen Lane and Dunnings Lane, North Ockendon/Upminster | approx 51.5470 | approx 0.2660 | Digital Reef | Digital Reef | Unknown | Unknown | 600 | Unknown | Unknown | 3300000 | 2022 (proposal) | Unknown (pending planning approval) | https://www.easthaveringdatacentrecampus.com, https://www.digital-reef.io/digital-reef-projects, https://www.datacenterdynamics.com/en/news/175-hectare-600mw-data-center-campus-proposed-outside-london-in-havering/, https://democracy.havering.gov.uk/documents/s74215/EHDC%20May%20SPC%20Presentation%20-%20Digital%20Reef.pdf

Vantage Data Centres Cardiff Campus | Completed/Expanding | United Kingdom | Wales | Cardiff | Celtic Way, Newport, NP10 8BE | 51.5794 | -3.0291 | Vantage Data Centres | Vantage Data Centres | Unknown | Unknown | 150 | Unknown | Unknown | 2000000 | 2010 (opened), expansion ongoing | Unknown | https://vantage-dc.com/data-center-locations/emea/cardiff-united-kingdom/, https://www.colo-x.com/data-centre/next-generation-data-newport/

Nscale Loughton Data Centre | Planned | United Kingdom | East of England | Loughton | Langston Road, IG10 3TQ, Loughton, Essex | 51.6466 | 0.0632 | Nscale | Nscale | Unknown | Unknown | 50 (scalable to 90) | Unknown | Up to 45,000 racks (GB200 GPUs) | Unknown | 2025 (site purchase) | Q4 2026 (planned go-live) | https://www.nscale.com/press-releases/ai-hyperscaler-nscale-to-invest-gbp-2-billion-in-the-uk-data-centre-industry, https://www.datacentermap.com/united-kingdom/essex/nscale-loughton/, https://www.capacitymedia.com/article/2ea441j8hdlbyqxifydj4/news/article-nscale-to-invest-2bn-in-uk-data-centres

AI Growth Zone Culham (Oxfordshire) | Announced/Planned | United Kingdom | South East | Culham | Culham Science Centre, Abingdon, Oxfordshire | 51.6617 | -1.2422 | Unknown (public-private partnership) | Unknown | Unknown | Unknown | 100 (scalable to 500+) | Unknown | Unknown | Unknown | 2025 (announcement) | Unknown | https://www.jll.com/en-uk/guides/uk-ai-growth-zones-announcement, https://www.gov.uk/government/publications/ai-growth-zones/ai-growth-zones-open-for-applications

Stargate UAE | planned/under construction | UAE | Abu Dhabi | Abu Dhabi | 10-square-mile site, Abu Dhabi (exact address TBD) | approx 24.4539 | approx 54.3773 | G42 (operator), OpenAI, Oracle, Nvidia, Cisco, SoftBank | G42, OpenAI, Oracle, Nvidia, Cisco, SoftBank | (not specified, likely G42 as builder) | Nvidia (GB300 systems), Oracle, Cisco, SoftBank | 5,000 | 5,000 (planned), 200 (phase 1, 2026) | 100,000+ GPUs (phase 1 est.), racks not specified | 10 square miles (site), building sqft not specified | 2025 (announced), 2026 (phase 1 live) | 2029 (full build, est.) | https://openai.com/index/introducing-stargate-uae/; https://www.datacenterdynamics.com/en/news/companies-behind-uae-stargate-offer-additional-details/; https://thesoogroup.com/blog/stargate-uae-project-ai-datacenter; https://www.techrepublic.com/article/news-stargate-uae-openai-ai-data-center/; https://siliconangle.com/2025/05/22/openai-build-one-gigawatt-stargate-data-center-uae/

Khazna AUH4 (Mafraq) | under construction | UAE | Abu Dhabi | Mafraq | Mafraq, Abu Dhabi (exact address TBD) | approx 24.4250 | approx 54.5000 | Khazna Data Centers | Khazna Data Centers | (not specified) | (not specified) | 30 | (not specified) | (not specified) | (not specified) | May 2024 (announced) | Dec 2026 (planned) | https://www.datacenterdynamics.com/en/news/khazna-breaks-ground-on-two-data-centers-in-abu-dhabi/

Khazna AUH8 (Masdar City) | under construction | UAE | Abu Dhabi | Masdar City | Masdar City, Abu Dhabi (exact address TBD) | approx 24.4260 | approx 54.6167 | Khazna Data Centers | Khazna Data Centers | (not specified) | (not specified) | 30 | (not specified) | (not specified) | (not specified) | Apr 2025 (announced) | Aug 2026 (planned) | https://www.datacenterdynamics.com/en/news/khazna-breaks-ground-on-two-data-centers-in-abu-dhabi/

du Hyperscale AI Data Center | planned | UAE | Dubai | Dubai | (address TBD) | (TBD) | du (Emirates Integrated Telecommunications Company) | du | (not specified) | Microsoft (main tenant) | 50+ | (not specified) | (not specified) | (not specified) | Apr 2025 (announced) | (TBD) | https://www.rcrwireless.com/20250428/ai-ml/du-ai-data-microsoft; https://www.datacenterdynamics.com/en/news/microsoft-and-du-to-develop-544m-data-center-in-the-uae/

Colt DCS Frankfurt 4 & 5 | planned | Germany | Hesse | Wiesbaden (Frankfurt metro) | East of Frankfurt, Wiesbaden | approx 50.078, 8.239 | approx | Colt Data Centre Services | Colt Data Centre Services | Unknown | Unknown | 63 | 63 | Unknown | Unknown | 2025 | 2028 | https://www.datacenterdynamics.com/en/news/colt-dcs-to-develop-four-more-data-centers-in-germany-totaling-117mw/; https://www.prnewswire.com/news-releases/colt-dcs-boosts-german-expansion-by-117mw-acquiring-land-and-securing-power-supply-contracts-for-new-sites-in-frankfurt-and-berlin-302421950.html
